"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,SEASON_DESCRIPTION,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
States,Connecticut,Season 2016-17,1346,19,967,0,0,62,263,0
States,Delaware,Season 2016-17,3090,5,659,4,12,26,127,1
States,District of Columbia,Season 2016-17,69,1,32,0,3,0,4,0
States,Florida,Season 2016-17,X,X,X,X,X,X,X,X
States,Georgia,Season 2016-17,3912,26,1055,8,47,321,166,0
States,Hawaii,Season 2016-17,2347,53,885,12,7,89,179,0
States,Idaho,Season 2016-17,1311,9,983,3,1,16,26,0
States,Illinois,Season 2016-17,3029,6,479,0,3,325,80,0
States,Indiana,Season 2016-17,1253,39,693,0,2,112,122,0
States,Iowa,Season 2016-17,1837,15,822,9,7,79,150,0
States,Kansas,Season 2016-17,331,4,122,13,15,2,10,0
States,Kentucky,Season 2016-17,541,20,250,0,58,2,9,0
States,Louisiana,Season 2016-17,X,X,X,X,X,X,X,X
States,Maine,Season 2016-17,890,0,267,2,140,7,48,0
States,Maryland,Season 2016-17,5995,57,2067,0,16,94,557,39
States,Massachusetts,Season 2016-17,485,6,312,0,1,0,4,0
States,Michigan,Season 2016-17,956,20,539,0,31,57,142,1
States,Minnesota,Season 2016-17,6515,24,1513,25,32,75,778,0
States,Mississippi,Season 2016-17,354,9,143,0,1,15,20,0
States,Missouri,Season 2016-17,321,3,141,2,0,6,9,0
States,Montana,Season 2016-17,739,36,314,2,4,0,37,0
States,Nebraska,Season 2016-17,280,5,111,2,8,9,12,0
States,Nevada,Season 2016-17,568,13,270,0,6,1,43,0
States,New Hampshire,Season 2016-17,410,2,218,1,1,4,46,0
States,New Jersey,Season 2016-17,667,4,284,1,74,2,3,0
States,New Mexico,Season 2016-17,1819,14,480,1,2,6,58,0
States,New York,Season 2016-17,2574,10,857,17,58,37,164,0
States,North Carolina,Season 2016-17,895,38,282,2,8,28,60,0
States,North Dakota,Season 2016-17,1020,26,351,1,10,37,274,1
States,Ohio,Season 2016-17,1431,13,832,8,31,64,173,15
States,Oklahoma,Season 2016-17,671,27,220,0,18,3,62,0
States,Oregon,Season 2016-17,456,1,246,1,53,0,0,0
States,Pennsylvania,Season 2016-17,1363,4,531,9,8,49,50,1
States,Rhode Island,Season 2016-17,447,3,143,0,0,3,66,0
States,South Carolina,Season 2016-17,960,10,262,2,24,53,36,0
States,South Dakota,Season 2016-17,1274,22,479,16,16,64,206,0
States,Tennessee,Season 2016-17,2582,24,350,29,135,3,9,0
States,Texas,Season 2016-17,1703,49,396,5,51,35,112,0
States,Utah,Season 2016-17,1356,8,863,0,7,45,128,0
States,Vermont,Season 2016-17,371,3,233,0,51,0,2,0
States,Virginia,Season 2016-17,1654,17,676,1,31,25,138,0
States,Washington,Season 2016-17,1051,16,516,7,18,9,52,0
States,West Virginia,Season 2016-17,727,2,360,0,127,0,1,0
States,Wisconsin,Season 2016-17,4888,31,1011,11,6,86,261,0
States,Wyoming,Season 2016-17,839,2,264,4,8,1,29,0
States,Puerto Rico,Season 2016-17,624,2,402,0,17,51,23,0
States,Virgin Islands,Season 2016-17,X,X,X,X,X,X,X,X
States,New York City,Season 2016-17,X,X,X,X,X,X,X,X
States,Alabama,Season 2017-18,0,0,0,0,0,0,0,0
States,Alaska,Season 2017-18,0,0,0,0,0,0,0,0
States,Arizona,Season 2017-18,0,0,0,0,0,0,0,0
States,Arkansas,Season 2017-18,X,X,X,X,X,X,X,X
States,California,Season 2017-18,80,0,16,0,4,0,0,0
States,Colorado,Season 2017-18,X,X,X,X,X,X,X,X
States,Connecticut,Season 2017-18,0,0,0,0,0,0,0,0
States,Delaware,Season 2017-18,29,0,0,0,0,0,0,0
States,District of Columbia,Season 2017-18,X,X,X,X,X,X,X,X
States,Florida,Season 2017-18,X,X,X,X,X,X,X,X
States,Georgia,Season 2017-18,0,0,0,0,0,0,0,0
States,Hawaii,Season 2017-18,0,0,0,0,0,0,0,0
States,Idaho,Season 2017-18,X,X,X,X,X,X,X,X
States,Illinois,Season 2017-18,15,0,0,0,0,0,0,0
States,Indiana,Season 2017-18,X,X,X,X,X,X,X,X
States,Iowa,Season 2017-18,14,0,0,2,0,0,0,0
States,Kansas,Season 2017-18,0,0,0,0,0,0,0,0
States,Kentucky,Season 2017-18,0,0,0,0,0,0,0,0
States,Louisiana,Season 2017-18,X,X,X,X,X,X,X,X
States,Maine,Season 2017-18,X,X,X,X,X,X,X,X
States,Maryland,Season 2017-18,30,0,2,0,0,0,1,0
States,Massachusetts,Season 2017-18,X,X,X,X,X,X,X,X
States,Michigan,Season 2017-18,X,X,X,X,X,X,X,X
States,Minnesota,Season 2017-18,35,0,0,0,0,0,1,0
States,Mississippi,Season 2017-18,X,X,X,X,X,X,X,X
States,Missouri,Season 2017-18,0,0,0,0,0,0,0,0
States,Montana,Season 2017-18,X,X,X,X,X,X,X,X
States,Nebraska,Season 2017-18,X,X,X,X,X,X,X,X
States,Nevada,Season 2017-18,X,X,X,X,X,X,X,X
States,New Hampshire,Season 2017-18,0,0,0,0,0,0,0,0
States,New Jersey,Season 2017-18,X,X,X,X,X,X,X,X
States,New Mexico,Season 2017-18,X,X,X,X,X,X,X,X
States,New York,Season 2017-18,X,X,X,X,X,X,X,X
States,North Carolina,Season 2017-18,X,X,X,X,X,X,X,X
States,North Dakota,Season 2017-18,0,0,0,0,0,0,0,0
States,Ohio,Season 2017-18,0,0,0,0,0,0,0,0
States,Oklahoma,Season 2017-18,X,X,X,X,X,X,X,X
States,Oregon,Season 2017-18,0,0,0,0,0,0,0,0
States,Pennsylvania,Season 2017-18,X,X,X,X,X,X,X,X
States,Rhode Island,Season 2017-18,X,X,X,X,X,X,X,X
States,South Carolina,Season 2017-18,X,X,X,X,X,X,X,X
States,South Dakota,Season 2017-18,0,0,0,0,0,0,0,0
States,Tennessee,Season 2017-18,0,0,0,0,0,0,0,0
States,Texas,Season 2017-18,X,X,X,X,X,X,X,X
States,Utah,Season 2017-18,X,X,X,X,X,X,X,X
States,Vermont,Season 2017-18,0,0,0,0,0,0,0,0
States,Virginia,Season 2017-18,0,0,0,0,0,0,0,0
States,Washington,Season 2017-18,X,X,X,X,X,X,X,X
States,West Virginia,Season 2017-18,0,0,0,0,0,0,0,0
States,Wisconsin,Season 2017-18,51,0,3,4,0,0,0,0
States,Wyoming,Season 2017-18,X,X,X,X,X,X,X,X
States,Puerto Rico,Season 2017-18,0,0,0,0,0,0,0,0
States,Virgin Islands,Season 2017-18,X,X,X,X,X,X,X,X
States,New York City,Season 2017-18,X,X,X,X,X,X,X,X
